epoch,accuracy,loss,lr,mse,val_accuracy,val_loss,val_mse
0,0.00022815422562416643,0.0051801325753331184,1e-04,0.0051801325753331184,0.00018251505389343947,0.0036245796363800764,0.0036245796363800764
1,0.00022815422562416643,0.0014644963666796684,1e-04,0.0014644963666796684,0.00018251505389343947,0.0014558146940544248,0.0014558146940544248
2,0.00022815422562416643,0.0008869401062838733,1e-04,0.0008869401062838733,0.00018251505389343947,0.0010852257255464792,0.0010852257255464792
3,0.00022815422562416643,0.0006655470351688564,1e-04,0.0006655470351688564,0.00018251505389343947,0.0008710696711204946,0.0008710696711204946
4,0.00022815422562416643,0.0005458140512928367,1e-04,0.0005458140512928367,0.00018251505389343947,0.0007615121430717409,0.0007615121430717409
5,0.00022815422562416643,0.0005130480858497322,1e-04,0.0005130480858497322,0.00018251505389343947,0.0009502117172814906,0.0009502117172814906
6,0.00022815422562416643,0.00043884580372832716,1e-04,0.00043884580372832716,0.00018251505389343947,0.0006771119660697877,0.0006771119660697877
7,0.00022815422562416643,0.0004228366888128221,1e-04,0.0004228366888128221,0.00018251505389343947,0.0006871842197142541,0.0006871842197142541
8,0.00022815422562416643,0.00034337720717303455,1e-04,0.00034337720717303455,0.00018251505389343947,0.0007828899542801082,0.0007828899542801082
9,0.00022815422562416643,0.00036587315844371915,1e-04,0.00036587315844371915,0.00018251505389343947,0.0007937150076031685,0.0007937150076031685
10,0.00022815422562416643,0.00030746724223718047,1e-04,0.00030746724223718047,0.00018251505389343947,0.0006667443085461855,0.0006667443085461855
11,0.00022815422562416643,0.0002562856243457645,1e-04,0.0002562856243457645,0.00018251505389343947,0.0006592783611267805,0.0006592783611267805
12,0.00022815422562416643,0.00024224648950621486,1e-04,0.00024224648950621486,0.00018251505389343947,0.0007127418066374958,0.0007127418066374958
13,0.00022815422562416643,0.00023826411052141339,1e-04,0.00023826411052141339,0.00018251505389343947,0.0006539018359035254,0.0006539018359035254
14,0.00022815422562416643,0.0002180371666327119,1e-04,0.0002180371666327119,0.00018251505389343947,0.0006496343412436545,0.0006496343412436545
15,0.00022815422562416643,0.00021575727441813797,1e-04,0.00021575727441813797,0.00018251505389343947,0.0007434195722453296,0.0007434195722453296
16,0.00022815422562416643,0.00022855785209685564,1e-04,0.00022855785209685564,0.00018251505389343947,0.0006631650612689555,0.0006631650612689555
17,0.00022815422562416643,0.00020589256018865854,1e-04,0.00020589256018865854,0.00018251505389343947,0.000619765545707196,0.000619765545707196
18,0.00022815422562416643,0.00019701244309544563,1e-04,0.00019701244309544563,0.00018251505389343947,0.0007320376462303102,0.0007320376462303102
19,0.00022815422562416643,0.00021004898007959127,1e-04,0.00021004898007959127,0.00018251505389343947,0.0006707445136271417,0.0006707445136271417
20,0.00022815422562416643,0.00019775658438447863,1e-04,0.00019775658438447863,0.00018251505389343947,0.0007376344292424619,0.0007376344292424619
21,0.00022815422562416643,0.0001925280230352655,1e-04,0.0001925280230352655,0.00018251505389343947,0.0006426715408451855,0.0006426715408451855
22,0.00022815422562416643,0.00017386440595146269,1e-04,0.00017386440595146269,0.00018251505389343947,0.0006734305643476546,0.0006734305643476546
23,0.00022815422562416643,0.00017395302711520344,1e-04,0.00017395302711520344,0.00018251505389343947,0.000749254715628922,0.000749254715628922
24,0.00022815422562416643,0.00017536705126985908,1e-04,0.00017536705126985908,0.00018251505389343947,0.0006690089358016849,0.0006690089358016849
25,0.00022815422562416643,0.00018502365855965763,1e-04,0.00018502365855965763,0.00018251505389343947,0.0006235881592147052,0.0006235881592147052
26,0.00022815422562416643,0.0001495466858614236,1e-04,0.0001495466858614236,0.00018251505389343947,0.0006346598383970559,0.0006346598383970559
27,0.00022815422562416643,0.0001522212551208213,1e-04,0.0001522212551208213,0.00018251505389343947,0.0006733293412253261,0.0006733293412253261
28,0.00022815422562416643,0.00013856409350410104,1e-04,0.00013856409350410104,0.00018251505389343947,0.0006768577150069177,0.0006768577150069177
29,0.00022815422562416643,0.00014229888620320708,1e-04,0.00014229888620320708,0.00018251505389343947,0.0006950002280063927,0.0006950002280063927
30,0.00022815422562416643,0.0001508103305241093,1e-04,0.0001508103305241093,0.00018251505389343947,0.0006853500963188708,0.0006853500963188708
31,0.00022815422562416643,0.00013184278213884681,1e-04,0.00013184278213884681,0.00018251505389343947,0.000676762021612376,0.000676762021612376
32,0.00022815422562416643,0.0001315966947004199,1e-04,0.0001315966947004199,0.00018251505389343947,0.0007210487383417785,0.0007210487383417785
33,0.00022815422562416643,0.0001297777780564502,1e-04,0.0001297777780564502,0.00018251505389343947,0.0007326743216253817,0.0007326743216253817
34,0.00022815422562416643,0.00012744178820867091,1e-04,0.00012744178820867091,0.00018251505389343947,0.0011711554834619164,0.0011711554834619164
35,0.00022815422562416643,0.0001599920797161758,1e-04,0.0001599920797161758,0.00018251505389343947,0.0006820731796324253,0.0006820731796324253
36,0.00022815422562416643,0.00011133565567433834,1e-04,0.00011133565567433834,0.00018251505389343947,0.0006712747272104025,0.0006712747272104025
37,0.00022815422562416643,8.868674922268838e-05,1e-04,8.868674922268838e-05,0.00018251505389343947,0.0007083261734806001,0.0007083261734806001
